Rank,Release Group,Worldwide,Domestic,%,Foreign,%
88,Renegades,"$9,015,164","$9,015,164",100%,-,-
89,Scandal,"$8,800,000","$8,800,000",100%,-,-
90,True Believer,"$8,742,750","$8,742,750",100%,-,-
91,Troop Beverly Hills,"$8,508,843","$8,508,843",100%,-,-
92,Cheetah,"$8,153,677","$8,153,677",100%,-,-
93,DeepStar Six,"$8,143,225","$8,143,225",100%,-,-
94,Dead Bang,"$8,125,592","$8,125,592",100%,-,-
95,The Adventures of Baron Munchausen,"$8,083,123","$8,083,123",100%,-,-
96,Dead Calm,"$7,825,009","$7,825,009",100%,-,-
97,"Enemies, A Love Story","$7,754,571","$7,754,571",100%,-,-
98,Disorganized Crime,"$7,723,506","$7,723,506",100%,-,-
99,Roger & Me,"$7,706,368","$6,706,368",87%,"$1,000,000",13%
100,Johnny Handsome,"$7,237,794","$7,237,794",100%,-,-
101,Lawrence of Arabia 1989 Re-release,"$6,986,278","$6,986,278",100%,-,-
102,Relentless,"$6,985,999","$6,985,999",100%,-,-
103,Shag,"$6,957,975","$6,957,975",100%,-,-
104,Music Box,"$6,263,883","$6,263,883",100%,-,-
105,UHF,"$6,157,157","$6,157,157",100%,-,-
106,Shirley Valentine,"$6,056,912","$6,056,912",100%,-,-
107,Immediate Family,"$5,932,613","$5,932,613",100%,-,-
108,Millennium,"$5,777,099","$5,777,099",100%,-,-
109,Dream a Little Dream,"$5,552,441","$5,552,441",100%,-,-
110,Second Sight,"$5,368,865","$5,368,865",100%,-,-
111,Let It Ride,"$4,973,285","$4,973,285",100%,-,-
112,See You in the Morning,"$4,795,009","$4,795,009",100%,-,-
113,Drugstore Cowboy,"$4,729,352","$4,729,352",100%,-,-
114,The January Man,"$4,611,062","$4,611,062",100%,-,-
115,The Mighty Quinn,"$4,557,214","$4,557,214",100%,-,-
116,Staying Together,"$4,348,025","$4,348,025",100%,-,-
117,Listen to Me,"$4,299,023","$4,299,023",100%,-,-
118,Red Scorpion,"$4,192,440","$4,192,440",100%,-,-
119,Loverboy,"$3,960,327","$3,960,327",100%,-,-
120,The Phantom of the Opera,"$3,953,745","$3,953,745",100%,-,-
121,Earth Girls Are Easy,"$3,916,303","$3,916,303",100%,-,-
122,A Dry White Season,"$3,766,879","$3,766,879",100%,-,-
123,Worth Winning,"$3,690,328","$3,690,328",100%,-,-
124,Old Gringo,"$3,574,256","$3,574,256",100%,-,-
125,Fat Man and Little Boy,"$3,563,162","$3,563,162",100%,-,-
126,Physical Evidence,"$3,560,932","$3,560,932",100%,-,-
127,In Country,"$3,531,971","$3,531,971",100%,-,-
128,Kinjite: Forbidden Subjects,"$3,416,846","$3,416,846",100%,-,-
129,Camille Claudel,"$3,331,297","$3,331,297",100%,-,-
130,Rude Awakening,"$3,169,719","$3,169,719",100%,-,-
131,Speed Zone,"$3,077,361","$3,077,361",100%,-,-
132,Fright Night Part 2,"$2,983,784","$2,983,784",100%,-,-
133,976-EVIL,"$2,955,917","$2,955,917",100%,-,-
134,The Adventures of Milo and Otis,"$2,948,215","$2,948,215",100%,-,-
135,Gleaming the Cube,"$2,777,280","$2,777,280",100%,-,-
136,Farewell to the King,"$2,420,917","$2,420,917",100%,-,-
137,Gone with the Wind 1989 Re-release,"$2,403,316","$2,403,316",100%,-,-
138,Chocolat,"$2,317,091","$2,317,091",100%,-,-
139,Sing,"$2,260,616","$2,260,616",100%,-,-
140,Scenes from the Class Struggle in Beverly Hills,"$2,156,471","$2,156,471",100%,-,-
141,Jacknife,"$2,049,769","$2,049,769",100%,-,-
142,Rooftops,"$2,043,889","$2,043,889",100%,-,-
143,Winter People,"$2,023,282","$2,023,282",100%,-,-
144,Erik the Viking,"$1,932,642","$1,932,642",100%,-,-
145,Communion,"$1,919,653","$1,919,653",100%,-,-
146,Breaking In,"$1,877,618","$1,877,618",100%,-,-
147,Cookie,"$1,869,417","$1,869,417",100%,-,-
148,Miss Firecracker,"$1,852,655","$1,852,655",100%,-,-
149,Bloodfist,"$1,770,082","$1,770,082",100%,-,-
150,The Horror Show,"$1,738,897","$1,738,897",100%,-,-
151,Best of the Best,"$1,700,000","$1,700,000",100%,-,-
152,How I Got Into College,"$1,642,239","$1,642,239",100%,-,-
153,Stepfather II,"$1,519,796","$1,519,796",100%,-,-
154,The Simpsons: Family Portrait/Beat Dedication/Propagandance/Scaredy Cat!/Rarg/Knick Knack/Pencil Dance/Quinoscopio 2/Umbabarauma/Goodnight Norma... Goodnight Milton.../Tin Toy/25 Ways to Quit Smoking,"$1,487,606","$1,487,606",100%,-,-
155,True Love,"$1,354,268","$1,354,268",100%,-,-
156,The Navigator: A Medieval Odyssey,"$1,333,379","$1,333,379",100%,-,-
157,Romero,"$1,316,495","$1,316,495",100%,-,-
158,Babar: The Movie,"$1,305,187","$1,305,187",100%,-,-
159,Apartment Zero,"$1,267,578","$1,267,578",100%,-,-
