Rank,Release Group,Worldwide,Domestic,%,Foreign,%
151,Shirley,"$124,318",-,-,"$124,318",100%
152,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
153,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
154,Sputnik,"$116,062","$18,853",16.2%,"$97,209",83.8%
155,Lucky Grandma,"$102,972","$102,000",99.1%,$972,0.9%
156,First Cow,"$101,068","$101,068",100%,-,-
157,Miss Juneteenth,"$100,947","$92,349",91.5%,"$8,598",8.5%
158,The Roads Not Taken,"$99,546","$3,518",3.5%,"$96,028",96.5%
159,First Lady,"$93,298","$93,298",100%,-,-
160,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
161,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
162,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
163,How to Build a Girl,"$70,632","$70,632",100%,-,-
164,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
165,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
166,My Brothers' Crossing,"$58,166","$58,166",100%,-,-
167,A Simple Wedding,"$54,415","$54,415",100%,-,-
168,Miss Fisher & the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
169,House of Cardin,"$50,659",-,-,"$50,659",100%
170,Heaven,"$49,130","$49,130",100%,-,-
171,The Way I See It,"$49,030","$49,030",100%,-,-
172,VHYes,"$47,037","$47,037",100%,-,-
173,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
174,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
175,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
176,Three Christs,"$36,723","$36,723",100%,-,-
177,Tread,"$36,527","$36,527",100%,-,-
178,Waiting for Anya,"$36,404",-,-,"$36,404",100%
179,A Call to Spy,"$35,098","$35,098",100%,-,-
180,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
181,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
182,Rent-A-Pal,"$30,901","$30,901",100%,-,-
183,After Parkland,"$30,444","$30,444",100%,-,-
184,Olympic Dreams,"$29,450","$29,450",100%,-,-
185,Buffaloed,"$29,118","$29,118",100%,-,-
186,Abe,"$28,657",-,-,"$28,657",100%
187,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
188,José,"$26,563","$26,563",100%,-,-
189,Unsubscribe,"$25,488","$25,488",100%,-,-
190,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
191,Stage Mother,"$24,736",-,-,"$24,736",100%
192,Heart of Africa,"$24,139","$24,139",100%,-,-
193,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
194,Never Too Late,"$23,135",-,-,"$23,135",100%
195,Premature,"$23,071","$23,071",100%,-,-
196,L'Innocente,"$22,549","$22,549",100%,-,-
197,Lore,"$20,006","$20,006",100%,-,-
198,Foster Boy,"$19,046","$19,046",100%,-,-
199,Made in Hong Kong,"$17,843","$17,843",100%,-,-
200,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
201,Advocate,"$16,942","$16,942",100%,-,-
202,Centigrade,"$16,263","$16,263",100%,-,-
203,Straight Up,"$16,080","$16,080",100%,-,-
204,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
205,American Deep State,"$15,269","$15,269",100%,-,-
206,"I Was at Home, But...","$14,078","$14,078",100%,-,-
207,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
208,The Pale Door,"$12,374",-,-,"$12,374",100%
209,The Grizzlies,"$11,650","$11,650",100%,-,-
210,Powerbomb,"$11,319","$11,319",100%,-,-
211,Lost in America,"$11,301","$11,301",100%,-,-
212,You Go to My Head,"$10,682","$10,682",100%,-,-
213,Draupadi Unleashed,"$10,681","$10,681",100%,-,-
214,Guest Artist,"$10,017","$10,017",100%,-,-
215,Foosballers,"$9,966","$9,966",100%,-,-
216,Just One More Kiss,"$9,130","$9,130",100%,-,-
217,Inside the Rain,"$8,140","$8,140",100%,-,-
218,The Wave,"$8,101","$8,101",100%,-,-
219,I AM PATRICK,"$7,880",-,-,"$7,880",100%
220,Valley Girl,"$7,671",-,-,"$7,671",100%
221,What We Found,"$6,976","$6,976",100%,-,-
222,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
223,Dreaming Grand Avenue,"$6,704","$6,704",100%,-,-
224,Human Capital,"$6,596","$6,596",100%,-,-
225,Afterward,"$6,477","$6,477",100%,-,-
226,In the Life of Music,"$5,772","$5,772",100%,-,-
227,Sex and the Future,"$5,745","$5,745",100%,-,-
228,Still Here,"$5,268","$5,268",100%,-,-
229,Lie Exposed,"$4,546","$4,546",100%,-,-
230,Find Your Voice,"$3,897","$3,897",100%,-,-
231,King's Gambit,"$3,816","$3,816",100%,-,-
232,The Trial of the Chicago 7,"$3,084",-,-,"$3,084",100%
233,Ottolenghi and the Cakes of Versailles,"$2,985","$2,985",100%,-,-
234,12 Hour Shift,"$2,532","$2,532",100%,-,-
235,Moondance,"$2,371","$2,371",100%,-,-
236,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
237,Goldie,"$2,302","$2,302",100%,-,-
238,Gul Makai,"$2,035",-,-,"$2,035",100%
239,The Transcendents,"$1,953","$1,953",100%,-,-
240,Saint Maud,"$1,933",-,-,"$1,933",100%
241,The Fox Hunter,"$1,577","$1,577",100%,-,-
242,Tar,"$1,469","$1,469",100%,-,-
243,Fear Pharm,"$1,157","$1,157",100%,-,-
244,Hai Tang Hong,"$1,107","$1,107",100%,-,-
245,Greater 2020 Re-release,$527,$527,100%,-,-
246,Spaceship Earth,$362,-,-,$362,100%
